CIDADE,ESTADO,QUANTIDADE_DE_INDICACOES,LAT,LON
CACHOEIRA DOURADA,GOIAS               ,2,-18.4934204,-49.481062
CACHOEIRA PAULISTA,SAO PAULO           ,4,-22.6605578,-45.0081689
CACHOEIRINHA,RIO GRANDE DO SUL,2,-29.9493353,-51.0898927
CACHOEIRO DE ITAPEMIRIM,ESPIRITO SANTO      ,17,-20.848084,-41.11129
CACONDE,SAO PAULO           ,10,-21.5554136,-46.6301073
CAETANOPOLIS,MINAS GERAIS        ,3,-19.2947496,-44.4138386
CAETE,MINAS GERAIS        ,1,-19.897777,-43.670278
CAETES,PERNAMBUCO          ,1,-8.7728788,-36.6255835
CAETITE,BAHIA               ,1,-14.0691776,-42.4852428
CAIANA,MINAS GERAIS        ,4,-20.695555,-41.924723
CAICO,RIO GRANDE DO NORTE ,8,-6.4594544,-37.0971911
CAIEIRAS,SAO PAULO           ,4,-23.3644621,-46.7484765
CAJAMAR,SAO PAULO           ,9,-23.3561111,-46.8769444
CAJATI,SAO PAULO           ,1,-24.7272376,-48.1077914
CAJAZEIRAS,PARAIBA             ,2,-6.8897849,-38.5570389
CAJURI,MINAS GERAIS        ,1,-20.7901414,-42.7954489
CAJURU,SAO PAULO           ,10,-21.2759978,-47.3046035
CALDAS,MINAS GERAIS        ,2,-21.923611,-46.386111
CALDAS NOVAS,GOIAS               ,5,-17.745,-48.625
CAMACARI,BAHIA               ,7,-12.6998188,-38.3260762
CAMANDUCAIA,MINAS GERAIS        ,1,-22.755278,-46.144444
CAMAQUA,RIO GRANDE DO SUL,1,-30.8524752,-51.8075619
CAMARAGIBE,PERNAMBUCO          ,5,-8.0213832,-34.9810768
CAMBE,PARANA,9,-23.2782035,-51.2779583
CAMBUCI,RIO DE JANEIRO      ,2,-21.5762274,-41.912293
CAMBUI,MINAS GERAIS        ,3,-22.6122501,-46.0572137
CAMBUQUIRA,MINAS GERAIS        ,1,-21.853056,-45.2953619
CAMPANARIO,MINAS GERAIS        ,2,-18.2392822,-41.7271598
CAMPANHA,MINAS GERAIS        ,4,-21.8361108,-45.401986
CAMPESTRE,MINAS GERAIS        ,4,-21.711111,-46.246389
CAMPINA DA LAGOA,PARANA,7,-24.5937926,-52.8038965
CAMPINA GRANDE,PARAIBA             ,20,-7.2246743,-35.8771292
CAMPINA VERDE,MINAS GERAIS        ,3,-19.535277,-49.486389
CAMPINAS,SAO PAULO           ,106,-22.9056391,-47.059564
CAMPO ALEGRE DE GOIAS,GOIAS               ,1,-17.6337896,-47.779291
CAMPO AZUL,MINAS GERAIS        ,2,-16.5078525,-44.8133524
CAMPO BELO,MINAS GERAIS        ,4,-20.8975,-45.277223
CAMPO DO BRITO,SERGIPE             ,2,-10.7482965,-37.493777
CAMPO DO MEIO,MINAS GERAIS        ,1,-21.1072006,-45.8301735
CAMPO DO TENENTE,PARANA,2,-25.9814143,-49.684518
CAMPO FORMOSO,BAHIA               ,1,-10.51055,-40.320031
CAMPO GRANDE,MATO GROSSO DO SUL  ,45,-20.4640173,-54.6162947
CAMPO LARGO,PARANA,21,-25.4597726,-49.5270851
CAMPO LARGO DA ROSEIRA (SAO JOSE DOS PINHAIS) - DI,PARANA,1,-25.6563457,-49.1626624
CAMPO LIMPO PAULISTA,SAO PAULO           ,9,-23.207791,-46.788919
CAMPO MOURAO,PARANA,10,-24.046329,-52.37802
CAMPO VERDE,MATO GROSSO         ,2,-15.5430787,-55.1590511
CAMPOS DO JORDAO,SAO PAULO           ,9,-22.738299,-45.5903769
CAMPOS DOS GOYTACAZES,RIO DE JANEIRO      ,4,-21.7546,-41.3242
CAMPOS GERAIS,MINAS GERAIS        ,5,-21.2333342,-45.7584127
CANAA,MINAS GERAIS        ,5,-20.685555,-42.62
CANAS,SAO PAULO           ,2,-22.7029347,-45.0526508
CANDEIAS,BAHIA               ,3,-12.6693806,-38.5406462
CANDEIAS,MINAS GERAIS        ,6,-20.7676161,-45.2763777
CANDEIAS DO JAMARI,RONDONIA            ,1,-8.7949939,-63.7018851
CANDELARIA,RIO GRANDE DO SUL,1,-29.668391,-52.789495
CANDIBA,BAHIA               ,4,-14.4125032,-42.8714102
CANDIDO MOTA,SAO PAULO           ,2,-22.7434964,-50.38924
CANDOI,PARANA,4,-25.5711951,-52.051107
CANELA,RIO GRANDE DO SUL,1,-29.3636094,-50.8096844
CANELINHA,SANTA CATARINA,3,-27.2660341,-48.7666708
CANINDE DE SAO FRANCISCO,SERGIPE             ,4,-9.6604477,-37.7895637
CANOAS,RIO GRANDE DO SUL,16,-29.9216045,-51.1799525
CANOINHAS,SANTA CATARINA,7,-26.1755121,-50.3949592
CANTAGALO,MINAS GERAIS        ,5,-18.5271683,-42.6252197
CAPAO BONITO,SAO PAULO           ,6,-24.0048759,-48.3489848
CAPAO DA CANOA,RIO GRANDE DO SUL,13,-29.7508278,-50.0210729
CAPELA DO ALTO,SAO PAULO           ,3,-23.4704798,-47.7352309
CAPELA NOVA,MINAS GERAIS        ,3,-20.9236773,-43.6179487
CAPELINHA,MINAS GERAIS        ,2,-17.693889,-42.518611
CAPETINGA,MINAS GERAIS        ,1,-20.6180809,-47.0570855
CAPINOPOLIS,MINAS GERAIS        ,3,-18.682778,-49.569723
CAPITAO LEONIDAS MARQUES,PARANA,1,-25.481645,-53.611238
CAPITOLIO,MINAS GERAIS        ,1,-20.6114193,-46.1326543
CAPIVARI,SAO PAULO           ,3,-22.9999295,-47.5031066
CARAA,RIO GRANDE DO SUL,7,-29.7916777,-50.4339994
CARAGUATATUBA,SAO PAULO           ,9,-23.62028,-45.41306
CARAI,MINAS GERAIS        ,1,-17.1884104,-41.6976554
CARAMBEI,PARANA,1,-24.9513298,-50.1171293
CARANDAI,MINAS GERAIS        ,4,-20.9526569,-43.8066788
CARANGOLA,MINAS GERAIS        ,3,-20.733638,-42.0299412
CARAPICUIBA,SAO PAULO           ,39,-23.5234673,-46.8406808
CARATINGA,MINAS GERAIS        ,1,-19.7900887,-42.140533
CARAVELAS,BAHIA               ,1,-17.734979,-39.2627179
CARAZINHO,RIO GRANDE DO SUL,6,-28.2981634,-52.7942363
CARIACICA,ESPIRITO SANTO      ,5,-20.263202,-40.416549
CARIRIACU,CEARA               ,1,-7.0417053,-39.2835527
CARLOPOLIS,PARANA,1,-23.4285011,-49.7208814
CARMESIA,MINAS GERAIS        ,1,-19.0854535,-43.1392003
CARMO DA CACHOEIRA,MINAS GERAIS        ,3,-21.460556,-45.223334
CARMO DA MATA,MINAS GERAIS        ,2,-20.558334,-44.8703774
CARMO DE MINAS,MINAS GERAIS        ,2,-22.1216655,-45.1323836
CARMO DO CAJURU,MINAS GERAIS        ,5,-20.184444,-44.770834
CARMO DO PARANAIBA,MINAS GERAIS        ,7,-18.9992327,-46.306916
CARMO DO RIO CLARO,MINAS GERAIS        ,10,-20.973315,-46.1186754
CARMOPOLIS DE MINAS,MINAS GERAIS        ,13,-20.541224,-44.6350611
CARNEIRINHO,MINAS GERAIS        ,1,-19.6975,-50.688055
CARPINA,PERNAMBUCO          ,2,-7.8459105,-35.2538861
CARRANCAS,MINAS GERAIS        ,4,-21.4910462,-44.6436151
CARUARU,PERNAMBUCO          ,3,-8.2829702,-35.9722852
CARVALHOPOLIS,MINAS GERAIS        ,1,-21.7773461,-45.8412117
CARVALHOS,MINAS GERAIS        ,4,-22.001667,-44.461667
CASA GRANDE,MINAS GERAIS        ,3,-20.7937571,-43.928693
CASA NOVA,BAHIA               ,4,-9.1736775,-40.9734475
CASCA,RIO GRANDE DO SUL,2,-28.5652711,-51.9769207
CASCAVEL,PARANA,18,-24.9554996,-53.4560544
